,Language,Tag_Count
0,javascript,2262673
1,java,1795337
2,python,1785334
3,c#,1494953
4,php,1412859
5,android,1346306
6,html,1087793
7,jquery,1016647
8,c++,735487
9,css,729997
10,ios,660135
11,mysql,630751
12,sql,602469
13,r,416617
14,node.js,399583
15,arrays,371167
16,asp.net,364352
17,c,363746
18,ruby-on-rails,327876
19,reactjs,327274
20,json,324559
21,.net,310641
22,sql-server,308229
23,swift,301314
24,python-3.x,293228
25,objective-c,291873
26,django,273924
27,angularjs,262222
28,angular,260505
29,excel,250642
30,regex,243382
31,iphone,221172
32,ruby,220718
33,ajax,216986
34,pandas,213549
35,linux,207821
36,xml,203836
37,asp.net-mvc,195463
38,vba,191200
39,spring,188076
40,database,180512
41,laravel,179869
42,wordpress,179121
43,string,167632
44,wpf,162618
45,typescript,157789
46,mongodb,152115
47,windows,151927
48,xcode,151374
49,postgresql,141984
50,bash,137700
51,oracle,136323
52,git,135975
53,vb.net,134965
54,multithreading,131015
55,eclipse,122622
56,amazon-web-services,122260
57,list,120294
58,firebase,116554
59,spring-boot,109586
60,algorithm,109447
61,macos,108684
62,azure,108163
63,forms,107627
64,image,106655
65,scala,105443
66,react-native,104517
67,visual-studio,104363
68,docker,102177
69,dataframe,101821
70,twitter-bootstrap,101227
71,flutter,99006
